,chromosome,start,end,strand,intron_motif,annotation,unique,multi,max_overhang,i,canonical_start,gene_id_start,canonical_end,gene_id_end,n_genes,gene_id,gene_name,intron_group,n_genes_per_intron_group,intron_group_size
0,Y,897900,898549,+,1,0,90,0,25,2553,2,,1,ENSMUSG00000056673,1,ENSMUSG00000056673,Kdm5d,Kdm5d_Y_898549_+,1,2
1,Y,898116,898549,+,1,1,1734,0,22,2557,1,ENSMUSG00000056673,1,ENSMUSG00000056673,1,ENSMUSG00000056673,Kdm5d,Kdm5d_Y_898549_+,1,2
2,Y,1012170,1014633,+,1,1,3970,1,19,2639,1,ENSMUSG00000069049,1,ENSMUSG00000069049,1,ENSMUSG00000069049,Eif2s3y,Eif2s3y_Y_1014633_+,1,3
3,Y,1013474,1014633,+,1,1,2569,2,5,2646,1,ENSMUSG00000069049,1,ENSMUSG00000069049,1,ENSMUSG00000069049,Eif2s3y,Eif2s3y_Y_1014633_+,1,3
4,Y,1014320,1014633,+,1,0,110,0,22,2648,2,,1,ENSMUSG00000069049,1,ENSMUSG00000069049,Eif2s3y,Eif2s3y_Y_1014633_+,1,3
5,Y,1016685,1017363,+,1,1,5371,0,24,2662,1,ENSMUSG00000069049,1,ENSMUSG00000069049,1,ENSMUSG00000069049,Eif2s3y,Eif2s3y_Y_1017363_+,1,3
6,Y,1017096,1017363,+,3,0,90,0,18,2664,2,,1,ENSMUSG00000069049,1,ENSMUSG00000069049,Eif2s3y,Eif2s3y_Y_1017363_+,1,3
7,Y,1017103,1017363,+,1,0,325,0,20,2665,2,,1,ENSMUSG00000069049,1,ENSMUSG00000069049,Eif2s3y,Eif2s3y_Y_1017363_+,1,3
8,Y,1168186,1169122,-,2,1,389,1,7,2755,1,ENSMUSG00000068457,1,ENSMUSG00000068457,1,ENSMUSG00000068457,Uty,Uty_Y_1168186_-,1,2
9,Y,1168186,1169964,-,2,1,554,0,25,2756,1,ENSMUSG00000068457,1,ENSMUSG00000068457,1,ENSMUSG00000068457,Uty,Uty_Y_1168186_-,1,2
10,Y,1280440,1282900,-,2,1,3083,21,25,2867,1,ENSMUSG00000069045,1,ENSMUSG00000069045,1,ENSMUSG00000069045,Ddx3y,Ddx3y_Y_1280440_-,1,2
11,Y,1280440,1284321,-,2,1,76,0,24,2869,1,ENSMUSG00000069045,1,ENSMUSG00000069045,1,ENSMUSG00000069045,Ddx3y,Ddx3y_Y_1280440_-,1,2
12,11,3082328,3082762,-,2,0,97,34,16,3583,1,ENSMUSG00000023764,2,,1,ENSMUSG00000023764,Sfi1,Sfi1_11_3082328_-,1,2
